site_id,device_id,cookie_id,data_installed,channel,source,medium,campaign,platform,country,area,city,ip,device_brand,device_model,os_version,is_his_install,active_in_8_14_label,active_in_8_14_probability,active_in_84_90_label,active_in_84_90_probability,activity_half_reduced_8_14_label,activity_half_reduced_8_14_probability
600,2B1F3750-F474-45B3-9250-A7DF671603DF,J6AB2832-581C-4B4C-B13D-44A635B74892,20180421,Google 手动,googleadwords_int,CPI,970853433_app_me_ios_display_entxt_uac_1101,ios,SA,GCC1,Al-Jubayl,78.95.184.19,0,0,11.2.2,0,0,0.12356913213328903,0,0.004466862732918229,1,0.8764308678667113
600,98A04D36-FC16-41CD-B033-53D55BE5B683,J6B86A4D-C13D-4C72-B138-6D1D34B34307,20180517,DSP 代投,liftoff_int,CPI,Liftoff - JollyChic - UAE - iOS,ios,AE,GCC2,Al Bada,86.97.75.68,0,0,11.3.1,0,0,0.3310197488157693,0,0.012654636727318211,1,0.6689802511842308
600,C4363B3F-955C-4F41-A284-77CE8934E710,J6C1E33A-A8FF-4A04-A9E8-242B91DF4068,20180602,Google 手动,googleadwords_int,CPI,1406065173_app_gcc_ios_ramadantest3c_uac15_0516,ios,SA,GCC1,Riyadh,94.98.249.169,0,0,11.3.1,0,0,0.28303819885062187,0,0.0871947863910662,1,0.716961801149378
600,0C52F222-8243-44F5-916C-4BBC66CD4B11,J6C3EFB7-0A5A-4AE6-99B4-722F388A5489,20180517,snapchat,snapchat_int,CPI,app_snap_ae_ios_female_wh_Rimas_display_cpc_0514_Jason,ios,AE,GCC2,Al Ain,217.164.218.75,0,0,11.3.1,0,1,0.5765773378984119,0,0.02804979253112033,0,0.423422662101588
600,58250360-7DEB-4EA9-84F9-52AB3CF10572,J6C7A1D5-5628-4B8B-A5C5-3162E06F9734,20180526,snapchat,snapchat_int,CPI,Branding Ads_Promoted Story_Ramadan_Areej Gallery_20180524_SA_IOS,ios,SA,GCC1,Jiddah,178.86.185.92,0,0,11.3.1,0,1,0.2936205276847997,0,0.010987970060651544,0,0.7063794723152005
600,B49468B5-9461-43AF-952E-C30F6E285A9A,J6C8382F-F490-4BF2-953D-1053A49A4E10,20180519,organic,Organic,None,0,ios,SA,GCC1,Jiddah,62.120.24.209,0,0,11.3.1,0,1,0.6291617544708596,0,0.302641196832492,0,0.37083824552914035
600,79000D8C-CD82-471B-84D9-31A74991D157,J6EDA9D4-14E7-42DD-87CD-71313C6C3A79,20180402,Facebook 智能,Facebook Ads,CPI,appauto_5430_audience_network_LB_male_ios_iPhone_age18-65_interest_landingpage_28_Carousel_20180401_110224_plan-145_detail-698_cpi_new_image,ios,LB,GCC1,Beirut,185.90.171.195,0,0,11.2.6,0,0,0.1671896778536089,0,0.0018512942705543323,1,0.8328103221463915
600,4BEB28AD-1F0D-47BF-899E-0574E665FAF9,J6EE8CDC-BC62-4D4D-A863-99DD6E25F970,20180420,Media Buy 代投,Facebook Ads,CPI,FBMagic_Yeahmobi_jollymb_gcc_ios_F+M-0330-Rachel,ios,KW,GCC2,Al Ahmadi,37.39.217.60,0,0,11.2.1,0,0,0.343720826847833,0,0.0019230769230769232,1,0.6562791731521669
600,F56DB015-2647-4497-A935-2B5D598F48B9,J6F7935D-AA0F-4A2D-A0CE-E6FF02E53CDA,20180512,Google 手动,googleadwords_int,CPI,1037189670_app_gcc_ios_display_female_uac_0112,ios,KW,GCC2,Al Ahmadi,78.154.192.192,0,0,11.2.2,0,0,0.21869123453804554,0,0.009690331935166486,1,0.7813087654619544
600,AB1B0480-45A0-4B66-9383-8496ADE1BE9F,J6FE017E-D30A-400F-B5E4-97E09CC2A44A,20180513,Facebook 智能,Facebook Ads,CPI,appauto_2708_audience_network_LB_male_ios_iPhone_age18-65_interest_landingpage_28_Carousel_20180423_110254_plan-145_detail-698_cpi_new_image,ios,LB,GCC1,Deir Ez Zahrani,194.126.31.22,0,0,11.3.1,0,0,0.09635092496768859,0,0.002044450831093369,1,0.9036490750323114
